,examples,data_lbl,gender,train
0,<|endoftext|>The detective examined the crime scene.His,pronoun,1,1
1,<|endoftext|>The detective examined the crime scene. he,pronoun,1,1
2,<|endoftext|>The detective examined the crime scene.he,pronoun,1,1
3,<|endoftext|>The detective examined the crime scene.his,pronoun,1,1
4,<|endoftext|>The detective examined the crime scene.He,pronoun,1,1
5,<|endoftext|>The detective examined the crime scene. his,pronoun,1,1
6,<|endoftext|>The detective examined the crime scene. He,pronoun,1,1
7,<|endoftext|>The teacher stood at the front of the classroom.His,pronoun,1,1
8,<|endoftext|>The teacher stood at the front of the classroom. he,pronoun,1,1
9,<|endoftext|>The teacher stood at the front of the classroom.he,pronoun,1,1
10,<|endoftext|>The teacher stood at the front of the classroom.his,pronoun,1,1
11,<|endoftext|>The teacher stood at the front of the classroom.He,pronoun,1,1
12,<|endoftext|>The teacher stood at the front of the classroom. his,pronoun,1,1
13,<|endoftext|>The teacher stood at the front of the classroom. He,pronoun,1,1
14,<|endoftext|>The chef prepared a delicious meal.His,pronoun,1,1
15,<|endoftext|>The chef prepared a delicious meal. he,pronoun,1,1
16,<|endoftext|>The chef prepared a delicious meal.he,pronoun,1,1
17,<|endoftext|>The chef prepared a delicious meal.his,pronoun,1,1
18,<|endoftext|>The chef prepared a delicious meal.He,pronoun,1,1
19,<|endoftext|>The chef prepared a delicious meal. his,pronoun,1,1
20,<|endoftext|>The chef prepared a delicious meal. He,pronoun,1,1
21,<|endoftext|>The writer typed away on the keyboard.His,pronoun,1,1
22,<|endoftext|>The writer typed away on the keyboard. he,pronoun,1,1
23,<|endoftext|>The writer typed away on the keyboard.he,pronoun,1,1
24,<|endoftext|>The writer typed away on the keyboard.his,pronoun,1,1
25,<|endoftext|>The writer typed away on the keyboard.He,pronoun,1,1
26,<|endoftext|>The writer typed away on the keyboard. his,pronoun,1,1
27,<|endoftext|>The writer typed away on the keyboard. He,pronoun,1,1
28,<|endoftext|>The artist applied vibrant colors to the canvas.His,pronoun,1,1
29,<|endoftext|>The artist applied vibrant colors to the canvas. he,pronoun,1,1
30,<|endoftext|>The artist applied vibrant colors to the canvas.he,pronoun,1,1
31,<|endoftext|>The artist applied vibrant colors to the canvas.his,pronoun,1,1
32,<|endoftext|>The artist applied vibrant colors to the canvas.He,pronoun,1,1
33,<|endoftext|>The artist applied vibrant colors to the canvas. his,pronoun,1,1
34,<|endoftext|>The artist applied vibrant colors to the canvas. He,pronoun,1,1
35,<|endoftext|>The pilot expertly maneuvered the plane the sky.His,pronoun,1,1
36,<|endoftext|>The pilot expertly maneuvered the plane the sky. he,pronoun,1,1
37,<|endoftext|>The pilot expertly maneuvered the plane the sky.he,pronoun,1,1
38,<|endoftext|>The pilot expertly maneuvered the plane the sky.his,pronoun,1,1
39,<|endoftext|>The pilot expertly maneuvered the plane the sky.He,pronoun,1,1
40,<|endoftext|>The pilot expertly maneuvered the plane the sky. his,pronoun,1,1
41,<|endoftext|>The pilot expertly maneuvered the plane the sky. He,pronoun,1,1
42,<|endoftext|>The scientist conducted experiments.His,pronoun,1,1
43,<|endoftext|>The scientist conducted experiments. he,pronoun,1,1
44,<|endoftext|>The scientist conducted experiments.he,pronoun,1,1
45,<|endoftext|>The scientist conducted experiments.his,pronoun,1,1
46,<|endoftext|>The scientist conducted experiments.He,pronoun,1,1
47,<|endoftext|>The scientist conducted experiments. his,pronoun,1,1
48,<|endoftext|>The scientist conducted experiments. He,pronoun,1,1
49,<|endoftext|>The firefighter rushed into the building.His,pronoun,1,1
50,<|endoftext|>The firefighter rushed into the building. he,pronoun,1,1
51,<|endoftext|>The firefighter rushed into the building.he,pronoun,1,1
52,<|endoftext|>The firefighter rushed into the building.his,pronoun,1,1
53,<|endoftext|>The firefighter rushed into the building.He,pronoun,1,1
