,examples,label,bin
0,<|endoftext|> He,pronouns,1
1,<|endoftext|> His,pronouns,1
2,<|endoftext|>He,pronouns,1
3,<|endoftext|>His,pronouns,1
4,<|endoftext|> he,pronouns,1
5,<|endoftext|> his,pronouns,1
6,<|endoftext|>he,pronouns,1
7,<|endoftext|>his,pronouns,1
8,<|endoftext|> She,pronouns,-1
9,<|endoftext|> Her,pronouns,-1
10,<|endoftext|>She,pronouns,-1
11,<|endoftext|>Her,pronouns,-1
12,<|endoftext|> she,pronouns,-1
13,<|endoftext|> her,pronouns,-1
14,<|endoftext|>she,pronouns,-1
15,<|endoftext|>her,pronouns,-1
16,<|endoftext|>The countryman,nouns,1
17,<|endoftext|> countryman,nouns,1
18,<|endoftext|>The wizards,nouns,1
19,<|endoftext|> wizards,nouns,1
20,<|endoftext|>The manservant,nouns,1
21,<|endoftext|> manservant,nouns,1
22,<|endoftext|>The fathers,nouns,1
23,<|endoftext|> fathers,nouns,1
24,<|endoftext|>The divo,nouns,1
25,<|endoftext|> divo,nouns,1
26,<|endoftext|>The actor,nouns,1
27,<|endoftext|> actor,nouns,1
28,<|endoftext|>The bachelor,nouns,1
29,<|endoftext|> bachelor,nouns,1
30,<|endoftext|>The papa,nouns,1
31,<|endoftext|> papa,nouns,1
32,<|endoftext|>The dukes,nouns,1
33,<|endoftext|> dukes,nouns,1
34,<|endoftext|>The barman,nouns,1
35,<|endoftext|> barman,nouns,1
36,<|endoftext|>The countrymen,nouns,1
37,<|endoftext|> countrymen,nouns,1
38,<|endoftext|>The brideprice,nouns,1
39,<|endoftext|> brideprice,nouns,1
40,<|endoftext|>The hosts,nouns,1
41,<|endoftext|> hosts,nouns,1
42,<|endoftext|>The airmen,nouns,1
43,<|endoftext|> airmen,nouns,1
44,<|endoftext|>The prince,nouns,1
45,<|endoftext|> prince,nouns,1
46,<|endoftext|>The governors,nouns,1
47,<|endoftext|> governors,nouns,1
48,<|endoftext|>The abbot,nouns,1
49,<|endoftext|> abbot,nouns,1
50,<|endoftext|>The men,nouns,1
51,<|endoftext|> men,nouns,1
52,<|endoftext|>The widower,nouns,1
53,<|endoftext|> widower,nouns,1
54,<|endoftext|>The gentlemen,nouns,1
55,<|endoftext|> gentlemen,nouns,1
56,<|endoftext|>The sorcerers,nouns,1
57,<|endoftext|> sorcerers,nouns,1
58,<|endoftext|>The bridegrooms,nouns,1
59,<|endoftext|> bridegrooms,nouns,1
60,<|endoftext|>The baron,nouns,1
61,<|endoftext|> baron,nouns,1
62,<|endoftext|>The househusbands,nouns,1
63,<|endoftext|> househusbands,nouns,1
64,<|endoftext|>The gods,nouns,1
65,<|endoftext|> gods,nouns,1
66,<|endoftext|>The nephew,nouns,1
67,<|endoftext|> nephew,nouns,1
68,<|endoftext|>The widowers,nouns,1
69,<|endoftext|> widowers,nouns,1
70,<|endoftext|>The lord,nouns,1
71,<|endoftext|> lord,nouns,1
72,<|endoftext|>The brother,nouns,1
73,<|endoftext|> brother,nouns,1
74,<|endoftext|>The grooms,nouns,1
75,<|endoftext|> grooms,nouns,1
76,<|endoftext|>The priest,nouns,1
77,<|endoftext|> priest,nouns,1
78,<|endoftext|>The bellboys,nouns,1
79,<|endoftext|> bellboys,nouns,1
80,<|endoftext|>The marquis,nouns,1
81,<|endoftext|> marquis,nouns,1
82,<|endoftext|>The princes,nouns,1
83,<|endoftext|> princes,nouns,1
84,<|endoftext|>The emperors,nouns,1
85,<|endoftext|> emperors,nouns,1
86,<|endoftext|>The stallion,nouns,1
87,<|endoftext|> stallion,nouns,1
88,<|endoftext|>The chairman,nouns,1
89,<|endoftext|> chairman,nouns,1
90,<|endoftext|>The monastery,nouns,1
91,<|endoftext|> monastery,nouns,1
92,<|endoftext|>The priests,nouns,1
93,<|endoftext|> priests,nouns,1
94,<|endoftext|>The boyhood,nouns,1
95,<|endoftext|> boyhood,nouns,1
96,<|endoftext|>The fellas,nouns,1
97,<|endoftext|> fellas,nouns,1
98,<|endoftext|>The king,nouns,1
99,<|endoftext|> king,nouns,1
100,<|endoftext|>The dudes,nouns,1
101,<|endoftext|> dudes,nouns,1
102,<|endoftext|>The daddies,nouns,1
103,<|endoftext|> daddies,nouns,1
104,<|endoftext|>The manservant,nouns,1
105,<|endoftext|> manservant,nouns,1
106,<|endoftext|>The spokesman,nouns,1
107,<|endoftext|> spokesman,nouns,1
108,<|endoftext|>The tailor,nouns,1
109,<|endoftext|> tailor,nouns,1
110,<|endoftext|>The cowboys,nouns,1
111,<|endoftext|> cowboys,nouns,1
112,<|endoftext|>The dude,nouns,1
113,<|endoftext|> dude,nouns,1
114,<|endoftext|>The bachelors,nouns,1
115,<|endoftext|> bachelors,nouns,1
116,<|endoftext|>The emperor,nouns,1
117,<|endoftext|> emperor,nouns,1
118,<|endoftext|>The daddy,nouns,1
119,<|endoftext|> daddy,nouns,1
120,<|endoftext|>The masculism,nouns,1
121,<|endoftext|> masculism,nouns,1
122,<|endoftext|>The guys,nouns,1
123,<|endoftext|> guys,nouns,1
124,<|endoftext|>The enchanter,nouns,1
125,<|endoftext|> enchanter,nouns,1
126,<|endoftext|>The guy,nouns,1
127,<|endoftext|> guy,nouns,1
128,<|endoftext|>The fatherhood,nouns,1
129,<|endoftext|> fatherhood,nouns,1
