,examples,data_num,gender,train
0,<|endoftext|>The detective examined the crime scene.His,1,1,1
1,<|endoftext|>The detective examined the crime scene. he,1,1,1
2,<|endoftext|>The detective examined the crime scene.he,1,1,1
3,<|endoftext|>The detective examined the crime scene.his,1,1,1
4,<|endoftext|>The detective examined the crime scene.He,1,1,1
5,<|endoftext|>The detective examined the crime scene. his,1,1,1
6,<|endoftext|>The detective examined the crime scene. He,1,1,1
7,<|endoftext|>The teacher stood at the front of the classroom.His,1,1,1
8,<|endoftext|>The teacher stood at the front of the classroom. he,1,1,1
9,<|endoftext|>The teacher stood at the front of the classroom.he,1,1,1
10,<|endoftext|>The teacher stood at the front of the classroom.his,1,1,1
11,<|endoftext|>The teacher stood at the front of the classroom.He,1,1,1
12,<|endoftext|>The teacher stood at the front of the classroom. his,1,1,1
13,<|endoftext|>The teacher stood at the front of the classroom. He,1,1,1
14,<|endoftext|>The chef prepared a delicious meal.His,1,1,1
15,<|endoftext|>The chef prepared a delicious meal. he,1,1,1
16,<|endoftext|>The chef prepared a delicious meal.he,1,1,1
17,<|endoftext|>The chef prepared a delicious meal.his,1,1,1
18,<|endoftext|>The chef prepared a delicious meal.He,1,1,1
19,<|endoftext|>The chef prepared a delicious meal. his,1,1,1
20,<|endoftext|>The chef prepared a delicious meal. He,1,1,1
21,<|endoftext|>The writer typed away on the keyboard.His,1,1,1
22,<|endoftext|>The writer typed away on the keyboard. he,1,1,1
23,<|endoftext|>The writer typed away on the keyboard.he,1,1,1
24,<|endoftext|>The writer typed away on the keyboard.his,1,1,1
25,<|endoftext|>The writer typed away on the keyboard.He,1,1,1
26,<|endoftext|>The writer typed away on the keyboard. his,1,1,1
27,<|endoftext|>The writer typed away on the keyboard. He,1,1,1
28,<|endoftext|>The artist applied vibrant colors to the canvas.His,1,1,1
29,<|endoftext|>The artist applied vibrant colors to the canvas. he,1,1,1
30,<|endoftext|>The artist applied vibrant colors to the canvas.he,1,1,1
31,<|endoftext|>The artist applied vibrant colors to the canvas.his,1,1,1
32,<|endoftext|>The artist applied vibrant colors to the canvas.He,1,1,1
33,<|endoftext|>The artist applied vibrant colors to the canvas. his,1,1,1
34,<|endoftext|>The artist applied vibrant colors to the canvas. He,1,1,1
35,<|endoftext|>The pilot expertly maneuvered the plane the sky.His,1,1,1
36,<|endoftext|>The pilot expertly maneuvered the plane the sky. he,1,1,1
37,<|endoftext|>The pilot expertly maneuvered the plane the sky.he,1,1,1
38,<|endoftext|>The pilot expertly maneuvered the plane the sky.his,1,1,1
39,<|endoftext|>The pilot expertly maneuvered the plane the sky.He,1,1,1
40,<|endoftext|>The pilot expertly maneuvered the plane the sky. his,1,1,1
41,<|endoftext|>The pilot expertly maneuvered the plane the sky. He,1,1,1
42,<|endoftext|>The scientist conducted experiments.His,1,1,1
43,<|endoftext|>The scientist conducted experiments. he,1,1,1
44,<|endoftext|>The scientist conducted experiments.he,1,1,1
45,<|endoftext|>The scientist conducted experiments.his,1,1,1
46,<|endoftext|>The scientist conducted experiments.He,1,1,1
47,<|endoftext|>The scientist conducted experiments. his,1,1,1
48,<|endoftext|>The scientist conducted experiments. He,1,1,1
49,<|endoftext|>The firefighter rushed into the building.His,1,1,1
50,<|endoftext|>The firefighter rushed into the building. he,1,1,1
51,<|endoftext|>The firefighter rushed into the building.he,1,1,1
52,<|endoftext|>The firefighter rushed into the building.his,1,1,1
53,<|endoftext|>The firefighter rushed into the building.He,1,1,1
54,<|endoftext|>The firefighter rushed into the building. his,1,1,1
55,<|endoftext|>The firefighter rushed into the building. He,1,1,1
56,<|endoftext|>The athlete trained rigorously.His,1,1,1
57,<|endoftext|>The athlete trained rigorously. he,1,1,1
58,<|endoftext|>The athlete trained rigorously.he,1,1,1
59,<|endoftext|>The athlete trained rigorously.his,1,1,1
60,<|endoftext|>The athlete trained rigorously.He,1,1,1
61,<|endoftext|>The athlete trained rigorously. his,1,1,1
62,<|endoftext|>The athlete trained rigorously. He,1,1,1
63,<|endoftext|>The electrician checked all the wiring.His,1,1,1
64,<|endoftext|>The electrician checked all the wiring. he,1,1,1
65,<|endoftext|>The electrician checked all the wiring.he,1,1,1
66,<|endoftext|>The electrician checked all the wiring.his,1,1,1
67,<|endoftext|>The electrician checked all the wiring.He,1,1,1
68,<|endoftext|>The electrician checked all the wiring. his,1,1,1
69,<|endoftext|>The electrician checked all the wiring. He,1,1,1
70,<|endoftext|>The gardener tended to the vegetables.His,1,1,1
71,<|endoftext|>The gardener tended to the vegetables. he,1,1,1
72,<|endoftext|>The gardener tended to the vegetables.he,1,1,1
73,<|endoftext|>The gardener tended to the vegetables.his,1,1,1
74,<|endoftext|>The gardener tended to the vegetables.He,1,1,1
75,<|endoftext|>The gardener tended to the vegetables. his,1,1,1
76,<|endoftext|>The gardener tended to the vegetables. He,1,1,1
77,<|endoftext|>The photographer captured stunning images.His,1,1,1
78,<|endoftext|>The photographer captured stunning images. he,1,1,1
79,<|endoftext|>The photographer captured stunning images.he,1,1,1
80,<|endoftext|>The photographer captured stunning images.his,1,1,1
81,<|endoftext|>The photographer captured stunning images.He,1,1,1
82,<|endoftext|>The photographer captured stunning images. his,1,1,1
83,<|endoftext|>The photographer captured stunning images. He,1,1,1
84,<|endoftext|>The mechanic fixed the engine.His,1,1,1
85,<|endoftext|>The mechanic fixed the engine. he,1,1,1
86,<|endoftext|>The mechanic fixed the engine.he,1,1,1
87,<|endoftext|>The mechanic fixed the engine.his,1,1,1
88,<|endoftext|>The mechanic fixed the engine.He,1,1,1
89,<|endoftext|>The mechanic fixed the engine. his,1,1,1
90,<|endoftext|>The mechanic fixed the engine. He,1,1,1
91,<|endoftext|>The surgeon performed the operation.His,1,1,1
92,<|endoftext|>The surgeon performed the operation. he,1,1,1
93,<|endoftext|>The surgeon performed the operation.he,1,1,1
