name,assigned_gender,count
Mary,1,7065
Anna,1,2604
Emma,1,2003
Elizabeth,1,1939
Minnie,1,1746
Margaret,1,1578
Ida,1,1472
Alice,1,1414
Bertha,1,1320
Sarah,1,1288
Annie,1,1258
Clara,1,1226
Ella,1,1156
Florence,1,1063
Cora,1,1045
Martha,1,1040
Laura,1,1012
Nellie,1,995
Grace,1,982
Carrie,1,949
Maude,1,859
Mabel,1,808
Bessie,1,796
Jennie,1,793
Gertrude,1,787
Julia,1,783
Hattie,1,769
Edith,1,768
Mattie,1,704
Rose,1,700
Catherine,1,688
Lillian,1,672
Ada,1,652
Lillie,1,647
Helen,1,636
Jessie,1,635
Louise,1,635
Ethel,1,633
Lula,1,621
Myrtle,1,615
Eva,1,614
Frances,1,605
Lena,1,603
Lucy,1,590
Edna,1,588
Maggie,1,582
Pearl,1,569
Daisy,1,564
Fannie,1,560
Josephine,1,544
Dora,1,524
Rosa,1,507
Katherine,1,502
Agnes,1,473
Marie,1,471
Nora,1,471
May,1,462
Mamie,1,436
Blanche,1,427
Stella,1,414
Ellen,1,411
Nancy,1,410
Effie,1,406
Sallie,1,404
Nettie,1,403
Della,1,391
Lizzie,1,388
Flora,1,365
Susie,1,361
Maud,1,345
Mae,1,344
Etta,1,323
Harriet,1,319
Sadie,1,317
Caroline,1,306
Katie,1,303
Lydia,1,302
Elsie,1,301
Kate,1,299
Susan,1,286
Mollie,1,283
Alma,1,277
Addie,1,274
Georgia,1,259
Eliza,1,252
Lulu,1,249
Nannie,1,248
Lottie,1,245
Amanda,1,241
Belle,1,238
Charlotte,1,237
Rebecca,1,236
Ruth,1,234
Viola,1,229
Olive,1,224
Amelia,1,221
Hannah,1,221
Jane,1,215
Virginia,1,213
Emily,1,210
Matilda,1,210
Irene,1,204
Kathryn,1,204
Esther,1,198
Willie,1,192
Henrietta,1,191
Ollie,1,183
Amy,1,167
Rachel,1,166
Sara,1,165
Estella,1,162
Theresa,1,153
Augusta,1,151
Ora,1,149
Pauline,1,144
Josie,1,141
Lola,1,138
Sophia,1,138
Leona,1,137
Anne,1,136
Mildred,1,132
Ann,1,131
Beulah,1,131
Callie,1,131
Lou,1,131
Delia,1,129
Eleanor,1,129
Barbara,1,127
Iva,1,127
Louisa,1,126
Maria,1,125
Mayme,1,124
Evelyn,1,122
Estelle,1,119
Nina,1,119
Betty,1,117
Marion,1,115
Bettie,1,113
Dorothy,1,112
Luella,1,111
Inez,1,106
Lela,1,106
Rosie,1,106
Allie,1,105
Millie,1,105
Janie,1,96
Cornelia,1,94
Victoria,1,93
Ruby,1,92
Winifred,1,92
Alta,1,91
Celia,1,90
Christine,1,89
Beatrice,1,87
Birdie,1,85
Harriett,1,83
Mable,1,83
Myra,1,83
Sophie,1,83
Tillie,1,83
Isabel,1,81
Sylvia,1,81
Carolyn,1,80
Isabelle,1,80
Leila,1,80
Sally,1,80
Ina,1,79
Essie,1,78
Bertie,1,77
Nell,1,77
Alberta,1,76
Katharine,1,76
Lora,1,74
Rena,1,74
Mina,1,73
Rhoda,1,73
Mathilda,1,72
Abbie,1,71
Eula,1,70
Dollie,1,69
Hettie,1,69
Eunice,1,67
Fanny,1,67
Ola,1,67
Lenora,1,66
Adelaide,1,65
Christina,1,65
Lelia,1,65
Nelle,1,65
Sue,1,65
Johanna,1,64
Lilly,1,64
Lucinda,1,63
Minerva,1,63
Lettie,1,62
Roxie,1,62
Cynthia,1,61
Helena,1,60
Hilda,1,60
Hulda,1,60
Bernice,1,59
Genevieve,1,59
Jean,1,59
Cordelia,1,58
Marian,1,56
Francis,1,55
Jeanette,1,55
Adeline,1,54
Gussie,1,54
Leah,1,54
Lois,1,53
Lura,1,53
Mittie,1,53
Hallie,1,51
Isabella,1,50
Olga,1,50
Phoebe,1,50
Teresa,1,50
Hester,1,49
Lida,1,49
Lina,1,49
Winnie,1,49
Claudia,1,48
Marguerite,1,48
Vera,1,48
Cecelia,1,47
Bess,1,46
Emilie,1,46
John,1,46
Rosetta,1,46
Verna,1,46
Myrtie,1,45
Cecilia,1,44
Elva,1,44
Olivia,1,44
Ophelia,1,44
Georgie,1,43
Elnora,1,42
Violet,1,42
Adele,1,41
Lily,1,41
Linnie,1,41
Loretta,1,41
Madge,1,41
Polly,1,41
Virgie,1,41
Eugenia,1,40
Lucile,1,40
Lucille,1,40
Mabelle,1,39
Rosalie,1,39
Kittie,1,38
Meta,1,37
Angie,1,36
Dessie,1,36
Georgiana,1,36
Lila,1,36
Regina,1,36
Selma,1,36
Wilhelmina,1,36
Bridget,1,35
Lilla,1,35
Malinda,1,35
Vina,1,35
Freda,1,34
Gertie,1,34
Jeannette,1,34
Louella,1,34
Mandy,1,34
Roberta,1,34
Cassie,1,33
Corinne,1,33
Ivy,1,33
Melissa,1,33
Lyda,1,32
Naomi,1,32
Norma,1,32
Bell,1,31
Margie,1,31
Nona,1,31
Zella,1,31
Dovie,1,30
Elvira,1,30
Erma,1,30
Irma,1,30
Leota,1,30
William,1,30
Artie,1,29
Blanch,1,29
Charity,1,29
Lorena,1,29
Lucretia,1,29
Orpha,1,29
Alvina,1,28
Annette,1,28
Catharine,1,28
Elma,1,28
Geneva,1,28
Janet,1,28
Lee,1,28
Leora,1,28
Lona,1,28
Miriam,1,28
Zora,1,28
Linda,1,27
Octavia,1,27
Sudie,1,27
Zula,1,27
Adella,1,26
Alpha,1,26
Frieda,1,26
George,1,26
Joanna,1,26
Leonora,1,26
Priscilla,1,26
Tennie,1,26
Angeline,1,25
Docia,1,25
Ettie,1,25
Flossie,1,25
Hanna,1,25
Letha,1,25
Minta,1,25
Retta,1,25
Rosella,1,25
Adah,1,24
Berta,1,24
Elisabeth,1,24
Elise,1,24
Goldie,1,24
Leola,1,24
Margret,1,24
Adaline,1,23
Floy,1,23
Idella,1,23
Juanita,1,23
Lenna,1,23
Lucie,1,23
Missouri,1,23
Nola,1,23
Zoe,1,23
Eda,1,22
Isabell,1,22
James,1,22
Julie,1,22
Letitia,1,22
Madeline,1,22
Malissa,1,22
Mariah,1,22
Pattie,1,22
Vivian,1,22
Almeda,1,21
Aurelia,1,21
Claire,1,21
Dolly,1,21
Hazel,1,21
Jannie,1,21
Kathleen,1,21
Kathrine,1,21
Lavinia,1,21
Marietta,1,21
Melvina,1,21
Ona,1,21
Pinkie,1,21
Samantha,1,21
Susanna,1,21
Chloe,1,20
Donnie,1,20
Elsa,1,20
Gladys,1,20
Matie,1,20
Pearle,1,20
Vesta,1,20
Vinnie,1,20
Antoinette,1,19
Clementine,1,19
Edythe,1,19
Harriette,1,19
Libbie,1,19
Lilian,1,19
Lue,1,19
Lutie,1,19
Magdalena,1,19
Meda,1,19
Rita,1,19
Tena,1,19
Zelma,1,19
Adelia,1,18
